"ï»¿""CustomerID",Age,Gender,City,AnnualIncome,TotalSpent,MonthlyPurchases,AvgOrderValue,AppTimeMinutes,DiscountUsage,PreferredShoppingTime,Cluster,Segment
C001,28,F,Bangalore,450000.0,120000,6,2000,45.0,Medium,Night,0,High-Value Loyal Customer
C002,35,M,Mumbai,1200000.0,850000,18,12000,120.0,Low,Night,2,Price-Sensitive Occasional Customer
C003,42,F,Delhi,300000.0,75000,3,1800,30.0,High,Day,0,High-Value Loyal Customer
C004,26,M,Pune,560000.0,40000,2,1500,20.0,High,Day,0,High-Value Loyal Customer
C005,39,F,Bangalore,950000.0,600000,15,9000,95.0,Low,Night,2,Price-Sensitive Occasional Customer
C006,31,M,Chennai,520000.0,210000,8,2600,60.0,Medium,Day,1,Value-Seeking Regular Customer
C007,47,F,Kolkata,280000.0,50000,2,1400,15.0,High,Day,0,High-Value Loyal Customer
C008,29,F,Hyderabad,480000.0,190000,7,2700,68.0,Medium,Night,1,Value-Seeking Regular Customer
C010,33,M,Bangalore,600000.0,250000,9,3000,70.0,Medium,Day,1,Value-Seeking Regular Customer
C011,41,F,Delhi,350000.0,90000,4,2100,35.0,High,Day,0,High-Value Loyal Customer
C012,24,M,Pune,220000.0,30000,1,1200,10.0,High,Day,0,High-Value Loyal Customer
C013,38,F,Mumbai,800000.0,420000,12,6000,85.0,Medium,Night,1,Value-Seeking Regular Customer
C015,34,F,Hyderabad,500000.0,200000,8,2500,65.0,,Day,1,Value-Seeking Regular Customer
C016,27,M,Bangalore,420000.0,110000,5,2200,40.0,Medium,Night,0,High-Value Loyal Customer
C017,45,F,Delhi,700000.0,350000,10,5000,80.0,Medium,Day,1,Value-Seeking Regular Customer
C018,36,M,Mumbai,1100000.0,780000,17,11500,110.0,Low,Night,2,Price-Sensitive Occasional Customer
C019,52,F,Kolkata,260000.0,60000,2,1600,18.0,High,Day,0,High-Value Loyal Customer
C020,30,F,Pune,480000.0,180000,7,2600,55.0,Medium,Day,0,High-Value Loyal Customer
C021,41,M,Chennai,650000.0,300000,9,4200,72.0,Medium,Night,1,Value-Seeking Regular Customer
C022,23,F,Bangalore,200000.0,25000,1,1100,8.0,High,Day,0,High-Value Loyal Customer
C023,48,M,Hyderabad,1300000.0,900000,19,13000,140.0,Low,Night,2,Price-Sensitive Occasional Customer
C024,34,M,Delhi,540000.0,220000,8,2800,68.0,Medium,Day,1,Value-Seeking Regular Customer
C025,29,F,Mumbai,460000.0,170000,6,2400,50.0,Medium,Night,0,High-Value Loyal Customer
C027,44,F,Chennai,720000.0,380000,11,5200,88.0,Medium,Day,1,Value-Seeking Regular Customer
C028,32,M,Hyderabad,510000.0,210000,8,2600,62.0,Medium,Night,1,Value-Seeking Regular Customer
C029,39,M,Pune,610000.0,260000,9,3000,70.0,Low,Day,1,Value-Seeking Regular Customer
C030,26,F,Delhi,240000.0,45000,2,1400,15.0,High,Day,0,High-Value Loyal Customer
C031,37,F,Bangalore,820000.0,410000,12,5800,90.0,Medium,Night,1,Value-Seeking Regular Customer
C032,28,M,Pune,390000.0,95000,4,2100,38.0,High,Day,0,High-Value Loyal Customer
C034,35,F,Hyderabad,560000.0,230000,9,2900,67.0,Medium,Day,1,Value-Seeking Regular Customer
